Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Industrial Progressive (India) Limi,INDPROG,Industrial Progressive (India) Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Prudential Polywebs Limited,PRUDPOL,Prudential Polywebs Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Globus Constructors & Developers Limited,GLOBUSCON,Globus Constructors & Developers Ltd,Active,X ,10,INE064L01015,Power Generation,Equity,Utilities,Power,Power,Power Generation
Cubex Tubings Ltd,CUBEXTUB,Cubex Tubings Ltd,Active,T ,10,INE144D01012,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
Asian Agalite (India) Ltd,ASAGALI,Asian Agalite (India) Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Crystal Software Solutuions Ltd.,CRYSS,Crystal Software Solutions Ltd,Delisted,XT,10,INE665B01010, ,Equity,-,-,-,-
Jilichem Labarotories (India) Ltd,JILICHL,Jilichem Laboratories (India) Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Sarika Paints Ltd,SARIPNT,Sarika Paints Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Ram Leather Exports Limited,RAMLEAT,Ram Leather Export Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Polymechplast Machines Ltd.,POLYCHMP,Polymechplast Machines Ltd,Active,X ,10,INE809B01014,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
Luminaire Technologies Ltd.,LUMITECH,Luminaire Technologies Ltd,Delisted,Z ,1,INE682C01021, ,Equity,-,-,-,-
Shri Lakshmi Cotsyn Limited,SHLAKSHMI,Shri Lakshmi Cotsyn Ltd,Delisted,Z ,10,INE851B01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Deccan Polypacks Ltd,DECCNPL,DECCNPL,Delisted,Z ,10,-, ,Equity,-,-,-,-
